# x1, y1, x2, y2, x_target, y_target
5.397640692573965060e-01,8.423733217600758438e-01,8.635960423882559356e-01,5.077174432833535533e-01,1.000280880680901152e+00,9.851296145482944799e-02
-3.790385411345671418e-01,9.240771694152166704e-01,8.296918281782712790e-02,9.966675736976451372e-01,5.271717610566718504e-01,8.514870370196275795e-01
3.670765546865619594e-02,1.006552824449824968e+00,4.862104888687291959e-01,8.689604211887489438e-01,8.291200732738467361e-01,5.606211584214774168e-01
6.126625560223055711e-01,-4.196484392371372385e-01,1.072265271000334197e+00,-5.136170776918852487e-01,1.516282271956505445e+00,-3.683338633717657684e-01
6.563566335077172798e-02,1.209507150555098332e-01,3.307162525461838642e-01,-2.414873640146249778e-01,7.397844714215590090e-01,-4.657586763474327873e-01
-8.159595835807067488e-01,5.856116073950317080e-01,-4.648587385342760059e-01,8.935551386397541096e-01,-1.135540415589102008e-02,9.947849038084789486e-01
5.223822615384012824e-01,-3.822977589971107149e-01,9.735855324775010144e-01,-4.931858253743576781e-01,1.429463806355893096e+00,-4.003029521844342908e-01
7.456932456610446680e-01,-4.615467737498802903e-01,1.213162371072879830e+00,-4.563450020203781432e-01,1.634737126842072064e+00,-2.774644883864181288e-01
9.764698035243151164e-01,-5.004670180642155630e-01,1.434904876941933471e+00,-4.199006046197057418e-01,1.796662150352434040e+00,-1.202517720443864596e-01
-9.506290206608734028e-01,2.140760801156534610e-01,-7.057745394951351336e-01,7.049181016553045520e-01,-3.061271070067394517e-01,9.525146806405362376e-01
3.728741997631259547e-02,9.940079187184213128e-01,4.869267246739201194e-01,8.661682340838227079e-01,8.303272498342417762e-01,5.619784250324293406e-01
1.807966842731997537e-01,-6.113163469235355363e-02,5.304300141856383988e-01,-3.930673014727407155e-01,9.798834282155627351e-01,-5.143013494683417175e-01
1.131829156583314733e+00,-4.960452838572331213e-01,1.569017766360385924e+00,-3.248730175608818271e-01,1.880178419018844194e+00,2.131757747141612910e-02
-5.399290169802107853e-01,8.567841369480762026e-01,-9.888131908382566393e-02,9.916997879427298379e-01,3.657865936250092598e-01,9.409616635551262265e-01
8.804810313566040214e-02,9.117302047403515186e-02,3.749027710661496093e-01,-2.803864609001734953e-01,7.964188843866866208e-01,-4.731631396574546566e-01
1.263475867168781575e+00,-4.562217056034413298e-01,1.674390312031464489e+00,-2.407019798847374603e-01,1.935427073309532897e+00,1.517363562214404937e-01
4.104120678148084900e-01,-3.219488914559288095e-01,8.416357411781668629e-01,-5.003007185022004810e-01,1.308607660872306955e+00,-4.442200551631190764e-01
8.582193018128765338e-01,-5.103459281177372686e-01,1.325151690235432111e+00,-4.315028378147596211e-01,1.717516691244604043e+00,-1.700600458163897266e-01
7.194672087028101959e-02,1.296930212913967317e-01,3.427403220315726751e-01,-2.593073780991985711e-01,7.553884846893440530e-01,-4.619151345436567357e-01
9.566663301061649749e-01,-5.010717728661689963e-01,1.410749524067506977e+00,-3.942522783973941292e-01,1.781006581854471360e+00,-1.376141178780738161e-01
1.112774676733783302e-02,4.085225499031242546e-01,1.779024164715459766e-01,-8.355995934507999545e-02,5.254740741891603673e-01,-3.825707970087416920e-01
1.741745961406229032e-02,4.639526119599523546e-01,2.012847888400448038e-01,-1.093950325927299100e-01,5.606794047751770815e-01,-4.005516310750041886e-01
1.826972496326748074e-01,-6.518310330528118146e-02,5.334277683976734741e-01,-3.696457865978536317e-01,9.845832148455738730e-01,-4.860947975856005909e-01
-9.943378188698076547e-01,5.456743159072048599e-02,-8.412192273849711244e-01,5.563326048800913970e-01,-5.055389263323043503e-01,8.486710038243637788e-01
-5.919303897950684012e-01,8.008860391169910775e-01,-1.609004554868400660e-01,9.732821164910959721e-01,3.054824267112091762e-01,9.397723294918653991e-01
1.287815562325617558e+00,-4.698839927875625433e-01,1.691902057186140729e+00,-2.113593359766039459e-01,1.943543731450666057e+00,1.894647945592201344e-01
-7.668971634568023665e-01,6.351582869848650947e-01,-3.914436013749955090e-01,9.055411574188455548e-01,6.923207449032767191e-02,1.015556456845927880e+00
-3.104425725971247108e-01,9.554141844157353347e-01,1.550777252270666429e-01,9.930434359730424543e-01,5.884641710273870174e-01,8.104091091793778068e-01
